Date,temphigh,tempavg,templow,dewhigh,dewavg,dewlow,humhigh,humavg,humlow,seahigh,seaavg,sealow,vishigh,visavg,vislow,windhigh,windavg,preceiphigh,precipsum,Events,Precip,Snow
2016-01-01,44,40,37,32,28,21,70,61,52,30.08,30.04,29.99,10,10,8,23,8,39,0, ,0,0
2016-01-02,42,38,35,27,24,21,70,57,49,30.12,30.04,29.98,10,10,9,16,10,34,0, ,0,0
2016-01-03,48,42,35,28,27,25,70,60,40,29.97,29.88,29.8,10,10,8,17,10,33,0, ,0,0
2016-01-04,37,28,19,28,17,7,74,57,32,30.35,30.06,29.89,10,10,8,13,5,28,0, ,0,0
2016-01-05,35,25,15,18,11,5,93,55,33,30.64,30.59,30.47,10,10,9,14,6,40,0, ,0,0
2016-01-06,44,35,26,21,14,7,80,46,23,30.61,30.53,30.42,10,10,10,13,7,44,0, ,0,0
2016-01-07,44,38,32,30,21,12,61,47,31,30.42,30.3,30.19,10,10,8,8,5,0,0, ,0,0
2016-01-08,44,40,37,39,33,21,81,70,42,30.24,30.2,30.17,10,10,9,16,10,21,0, ,0,0
2016-01-09,48,45,42,46,41,36,93,85,76,30.21,30.15,30.05,10,10,5,16,13,22,0, ,0,0
2016-01-10,60,51,41,57,47,27,100,86,57,30.02,29.58,29.3,10,7,2,24,14,38,0,Thunderstorm,1.8,0
2016-01-11,41,34,28,27,15,7,61,47,28,30.13,29.93,29.64,10,10,10,22,13,48,0, ,0,0
2016-01-12,44,35,26,34,22,9,87,61,39,30.13,29.87,29.65,10,10,9,25,7,52,0, ,0,0
2016-01-13,33,28,24,19,14,9,69,57,35,30.05,29.96,29.75,10,10,10,22,11,34,0, ,0,0
2016-01-14,39,32,24,28,19,9,74,58,49,30.01,29.97,29.9,10,10,7,15,10,50,0, ,0,0
2016-01-15,51,44,37,43,36,27,82,73,54,29.96,29.83,29.54,10,10,7,9,5,0,0, ,0,0
2016-01-16,53,48,42,45,40,34,100,77,51,29.78,29.55,29.34,10,10,3,16,8,33,0, ,0.24,0
2016-01-17,42,37,32,34,28,23,93,71,56,29.9,29.8,29.71,10,9,1,12,5,18,0, ,0.05,0.4
2016-01-18,33,26,19,30,16,9,93,62,38,30.01,29.85,29.69,10,10,2,21,8,38,0, ,0,0
2016-01-19,33,26,19,18,11,9,74,56,35,30.15,30.05,29.99,10,10,10,20,11,30,0, ,0,0
2016-01-20,41,34,28,21,20,18,69,57,39,30.24,30.15,30.08,10,10,9,10,5,40,0, ,0,0
2016-01-21,41,34,28,21,18,12,74,54,36,30.27,30.16,30.07,10,10,8,9,4,22,10.1, ,0,0
2016-01-22,32,28,24,25,16,9,86,60,40,30.32,30.23,30.11,10,9,2,15,6,22,0, ,0.01,0.2
2016-01-23,30,28,26,30,28,27,100,95,93,30.09,29.74,29.59,10,2,0,26,17,41,0, ,2.31,26.6
2016-01-24,37,30,24,27,20,16,93,66,41,30.12,29.95,29.74,10,10,3,9,3,0,0, ,0,0
2016-01-25,39,34,30,30,25,19,80,68,49,30.33,30.26,30.12,10,10,8,7,5,0,0, ,0,0
2016-01-26,48,42,37,36,34,30,87,72,58,30.23,30.05,29.94,10,10,10,16,7,48,0, ,0,0
2016-01-27,48,42,37,36,27,19,76,55,32,30.15,30.04,29.94,10,10,8,12,4,20,0, ,0,0
2016-01-28,44,37,30,28,26,23,86,64,46,30.14,29.93,29.68,10,10,5,12,4,58,0, ,0,0
2016-01-29,42,38,33,30,26,19,75,61,45,29.85,29.59,29.47,10,10,6,10,5,18,0, ,0,0
2016-01-30,42,36,30,28,22,19,70,58,42,30.11,30.03,29.86,10,10,8,12,6,25,0, ,0,0
2016-01-31,57,46,35,41,32,28,81,62,33,30,29.92,29.8,10,10,9,10,6,52,0, ,0,0
2016-02-01,57,52,44,43,38,27,76,62,43,30.09,29.86,29.75,10,10,9,13,6,51,0, ,0.01,0
2016-02-02,53,46,39,36,29,25,76,54,35,30.39,30.29,30.1,10,10,9,14,4,34,0, ,0,0
2016-02-03,57,50,42,55,48,34,100,89,70,30.33,30.07,29.81,10,9,2,13,3,24,0, ,0.73,0
2016-02-04,57,52,44,55,42,30,100,70,47,30.1,29.99,29.87,10,9,2,12,5,33,0, ,0,0
2016-02-05,44,38,33,36,28,18,100,71,39,30.34,30.15,30.05,10,8,1,16,7,50,0, ,0.53,2.5
2016-02-06,41,36,32,27,23,19,75,59,45,30.46,30.36,30.28,10,10,9,10,5,48,0, ,0,0
2016-02-07,46,40,33,34,28,23,81,64,40,30.27,30.12,29.9,10,10,9,18,6,29,0, ,0,0
2016-02-08,39,36,32,34,29,25,93,76,56,29.88,29.78,29.72,10,9,2,21,15,33,0, ,0.05,0.1
2016-02-09,37,34,30,32,29,27,100,84,70,29.76,29.65,29.58,10,10,4,14,9,47,0, ,0,0
2016-02-10,41,37,33,34,28,19,100,75,45,29.77,29.66,29.6,10,8,2,18,8,50,0, ,0.01,0
2016-02-11,32,26,21,25,11,3,86,52,37,30.21,29.95,29.76,10,10,3,16,7,53,0, ,0,0
2016-02-12,28,22,17,18,9,3,74,55,43,30.29,30.15,29.95,10,10,10,14,6,33,0, ,0,0
2016-02-13,26,18,10,18,6,-6,80,56,35,30.33,30.09,29.89,10,10,4,13,8,24,0, ,0,0
2016-02-14,21,12,3,1,-5,-9,72,47,30,30.57,30.49,30.32,10,10,9,14,4,23,0, ,0,0
2016-02-15,37,27,17,36,17,-2,100,74,42,30.57,30.41,30.09,10,7,1,15,7,21,0, ,0.44,1.4
2016-02-16,53,45,37,52,45,30,100,90,70,30.08,29.76,29.43,10,8,2,24,7,41,0, ,1.01,0
2016-02-17,41,38,35,30,29,27,75,68,61,30.21,30.01,29.79,10,10,9,12,4,17,0, ,0,0
2016-02-18,41,36,30,27,14,3,70,45,22,30.56,30.41,30.22,10,10,9,15,4,22,0, ,0,0
2016-02-19,39,32,26,34,21,10,87,62,38,30.62,30.47,30.2,10,10,8,12,6,40,0, ,0,0
2016-02-20,60,50,39,39,34,30,87,55,36,30.19,29.94,29.82,10,10,9,16,7,40,0, ,0,0
2016-02-21,55,48,42,41,36,30,81,61,38,29.98,29.92,29.83,10,10,10,13,5,16,0, ,0.03,0
2016-02-22,51,45,39,37,30,25,76,58,38,30.27,30.13,29.97,10,10,8,16,7,43,0, ,0,0
2016-02-23,41,39,37,37,33,19,93,82,45,30.32,30.26,30.17,10,8,3,25,15,32,0, ,0.3,0
2016-02-24,57,47,37,57,45,36,100,97,93,30.18,29.81,29.35,10,4,1,21,16,31,0,Thunderstorm,1.22,0
2016-02-25,60,48,37,57,42,30,100,80,62,29.56,29.35,29.24,10,10,7,25,11,58,0, ,0.02,0
2016-02-26,42,36,30,28,14,3,65,42,22,30.12,29.88,29.58,10,10,10,13,5,37,0, ,0,0
2016-02-27,42,35,28,27,18,14,65,51,36,30.16,30.08,30,10,10,10,16,7,25,0, ,0,0
2016-02-28,59,48,37,36,28,25,65,49,31,30.02,29.91,29.76,10,10,10,13,9,22,0, ,0,0
2016-02-29,62,54,46,43,34,27,82,55,34,29.96,29.72,29.62,10,10,8,20,10,54,0, ,0.05,0
2016-03-01,51,46,41,48,31,19,88,58,30,30.19,30.02,29.65,10,10,9,15,8,36,0, ,0,0
